BAM-A.TO,ENB.TO,TRI.TO,TrendRatio,ExpectedReturn,Risk,Step,currentBest,Info
34,33,33,0.383794903080855343002752988468,53137.018100131761457305401563644409,138451.599209844658616930246353149414,0,0,initial
33,34,33,0.384059377455638450982178255799,52680.457992094867222476750612258911,137167.482645778713049367070198059082,1,1,look right
35,32,33,0.383461860571621793170038472454,53593.390563899898552335798740386963,139761.984370515769114717841148376465,1,1,look letf
31,36,33,0.384365042835985437630341721160,51767.713064558614860288798809051514,134683.718068109301384538412094116211,2,3,acc right
27,40,33,0.383959106616304057801869475952,49941.751180500657937955111265182495,130070.495320763890049420297145843506,4,3,acc right
29,38,33,0.384344040947056653223512512341,50854.683752305689267814159393310547,132315.525504169112537056207656860352,2,3,dec right
30,37,33,0.384397816263876979103741859944,51311.056216073789983056485652923584,133484.255230134731391444802284240723,1,6,dec right
29,37,34,0.386373455705572244056611452834,51341.901254281969158910214900970459,132881.543739914632169529795646667480,1,7,look right
31,37,32,0.382351225817504247750377999182,51280.495562582342245150357484817505,134118.820864088076632469892501831055,1,7,look letf
27,37,36,0.390098657856253916431654715780,51403.306945981552416924387216567993,131770.017432161926990374922752380371,2,9,acc right
23,37,40,0.396549322267746084946793416748,51527.309111989459779579192399978638,129939.218701271020108833909034729004,4,10,acc right
15,37,48,0.404787145041831719627367647263,51774.407046113294200040400028228760,127905.264977628670749254524707794189,8,11,acc right
7,37,56,0.406042714616333899613209723611,52021.504980237143172416836023330688,128118.306541694255429320037364959717,8,12,dec right
3,37,60,0.404010418732249854123494969826,52144.600748353048402350395917892456,129067.465418288833461701869964599609,4,12,dec right
5,37,58,0.405241586411910825749060904855,52082.910671936740982346236705780029,128523.114157875883392989635467529297,2,12,dec right
6,37,57,0.405696912111101370967958246183,52052.350018445307796355336904525757,128303.540067839130642823874950408936,1,12,dec right
8,37,55,0.406278402837151442206220508524,51990.944326745651778765022754669189,127968.762217432420584373176097869873,1,16,acc letf
10,37,53,0.406413595794554216578120531267,51928.063467720647167880088090896606,127771.472226954618236050009727478027,2,17,acc letf
14,37,49,0.405336427693740175559611316203,51805.252084321451548021286725997925,127808.034375493924017064273357391357,4,17,acc letf
12,37,51,0.406099962946407655461911190287,51866.657776021056633908301591873169,127718.942399573221337050199508666992,2,17,dec letf
11,37,52,0.406313192366907605101999934050,51897.502814229257637634873390197754,127727.831114489003084599971771240234,1,17,dec letf
9,37,54,0.406401656426854163139950060213,51958.908505928811791818588972091675,127851.123843242967268452048301696777,1,17,acc right
10,36,54,0.407662791149338343821284524893,52415.280969696905231103301048278809,128575.092227378961979411542415618896,1,22,look right
10,38,52,0.405078183874064967628925160170,51440.845965744374552741646766662598,126989.919510789681226015090942382812,1,22,look letf
10,34,56,0.409912233879754117626958986875,53390.906756258213135879486799240112,130249.605509261746192350983619689941,2,24,acc right
10,30,60,0.413477450679460900584416549464,55339.680023715358402114361524581909,133839.656631278310669586062431335449,4,25,acc right
10,22,68,0.417409388730082653307107420915,59238.417341238455264829099178314209,141919.225922215468017384409904479980,8,26,acc right
