TD.TO,CNR.TO,ENB.TO,TrendRatio,ExpectedReturn,Risk,Step,currentBest,Info
34,33,33,0.226758326849393287982792344337,34964.913797101478849072009325027466,154194.618927155097480863332748413086,0,0,initial
33,34,33,0.226895797433721874147849462133,34822.882566534921352285891771316528,153475.220609614741988480091094970703,1,1,look right
35,32,33,0.226613279804639355941020539831,35107.321512516500661149621009826660,154921.730724616441875696182250976562,1,1,look letf
31,36,33,0.227147586552372687807022089146,34538.443620553356595337390899658203,152052.875158283655764535069465637207,2,3,acc right
27,40,33,0.227550813044991501188363258734,33969.565728590263461228460073471069,149283.429375722684198990464210510254,4,4,acc right
19,48,33,0.227895027123405979896375583849,32831.809944664018985349684953689575,144065.495237355382414534687995910645,8,5,acc right
3,64,33,0.226205896353230545559043207504,30556.298376811562775401398539543152,135081.794371516065439209342002868652,16,5,acc right
11,56,33,0.227498945005710606626081471404,31694.054160737778147449716925621033,139315.169834929140051826834678649902,8,5,dec right
15,52,33,0.227799181521230881264372669648,32262.932052700878557516261935234070,141628.832190048822667449712753295898,4,5,dec right
17,50,33,0.227871423825366292703620274551,32547.370998682417848613113164901733,142832.174619779136264696717262268066,2,5,dec right
18,49,33,0.227889198466508458018608962448,32689.402229248982621356844902038574,143444.281033149338327348232269287109,1,5,dec right
20,47,33,0.227889397781752461868975956349,32973.841175230547378305345773696899,144692.300283356249565258622169494629,1,5,acc letf
18,48,34,0.228260988416031179726317645873,32561.208982872183696599677205085754,142649.031745738961035385727882385254,1,12,look right
20,48,32,0.227508886334314402999368098790,33102.131162055309687275439500808716,145498.189962624892359599471092224121,1,12,look letf
16,48,36,0.228924943068755742947573139645,32020.190063241057941922917962074280,139872.001862304954556748270988464355,2,14,acc right
12,48,40,0.229932539108722827636555052777,30938.248964426868042210116982460022,134553.591607135778758674860000610352,4,15,acc right
4,48,48,0.230204009649663421388510187171,28774.270026350452098995447158813477,124994.651787953873281367123126983643,8,16,acc right
0,48,52,0.229165762743166578907505481766,27692.705412384682858828455209732056,120841.372990872056107036769390106201,4,16,dec right
2,48,50,0.229799589137144683048674664860,28233.251106719311792403459548950195,122860.320215236206422559916973114014,2,16,dec right
3,48,49,0.230029256804470533248618835387,28503.948808959139569196850061416626,123914.449861428132862783968448638916,1,16,dec right
5,48,47,0.230326680796778676674207986252,29044.967728590188926318660378456116,126103.357318890382885001599788665771,1,20,acc letf
7,48,45,0.230425546712247825142938495446,29585.986648221347422804683446884155,128397.163727544102584943175315856934,2,21,acc letf
11,48,41,0.230106378976836362104663180617,30667.927747035559150390326976776123,133277.173294368956703692674636840820,4,21,acc letf
9,48,43,0.230345745911459481858329922943,30126.908827404447947628796100616455,130789.951028592724469490349292755127,2,21,dec letf
8,48,44,0.230406742639284095597318469117,29856.211125164667464559897780418396,129580.457512506036437116563320159912,1,21,dec letf
6,48,46,0.230399640353627643829526050467,29315.288945981501456117257475852966,127236.695773426938103511929512023926,1,21,acc right
7,47,46,0.230501422162471519827775523481,29457.696661396519630216062068939209,127798.329333659945405088365077972412,1,26,look right
7,49,44,0.230312878665814735335004570516,29714.179894598120881710201501846313,129016.579822761719697155058383941650,1,26,look letf
7,45,48,0.230538536363256996164494694312,29201.116687747035030042752623558044,126664.796039717897656373679637908936,2,28,acc right
7,41,52,0.230125492796246944315896598710,28688.053480895901884650811553001404,124662.648767454447806812822818756104,4,28,acc right
7,43,50,0.230415850146335032810895881994,28944.536714097423100611194968223572,125618.687671507883351296186447143555,2,28,dec right
7,44,49,0.230497672678620452169084842353,29072.826700922207237454131245613098,126130.673525099002290517091751098633,1,28,dec right
7,46,47,0.230539440996752165169425552449,29329.406674571699113585054874420166,127220.776400619841297157108783721924,1,32,acc letf
8,45,47,0.230620474239620815160023425960,29471.437905138325731968507170677185,127791.940426402550656348466873168945,1,33,Local Search 0 1
9,44,47,0.230685229802740504601032967003,29613.845620553300250321626663208008,128373.392808356962632387876510620117,1,34,Local Search 0 1
10,43,47,0.230734042075090517442959026084,29755.876851119792263489216566085815,128961.797676287329522892832756042480,1,35,Local Search 0 1
11,42,47,0.230767388968318859499007089653,29898.284566534908663015812635421753,129560.267159930153866298496723175049,1,36,Local Search 0 1
12,41,47,0.230785640537912978276224862384,30040.315797101393400225788354873657,130165.445853059616638347506523132324,1,37,Local Search 0 1
13,40,47,0.230789232228540974745101266308,30182.723512516404298366978764533997,130780.466753438944579102098941802979,1,38,Local Search 0 1
14,39,47,0.230778563564697503096567743341,30324.754743082925415365025401115417,131401.956380500429077073931694030762,1,38,Local Search 0 1
14,40,46,0.230770102419020156636619844903,30453.044729907735018059611320495605,131962.695386825740570202469825744629,1,38,Local Search 0 2
12,40,48,0.230765242201287995582603684852,29912.025810276638367213308811187744,129621.018854240988730452954769134521,1,38,Local Search 0 2
13,41,46,0.230776388081567834786866910690,30311.013499341173883294686675071716,131343.651537815720075741410255432129,1,38,Local Search 1 2
13,39,48,0.230764783701877168597960121588,30054.433525691645627375692129135132,130238.388386499573243781924247741699,1,38,Local Search 1 2
