TRI.TO,CSU.TO,IFC.TO,AEM.TO,CNR.TO,TrendRatio,ExpectedReturn,Risk,Step,currentBest,Info
20,20,20,20,20,0.717008218806989394700224238477,48552.848877470329171046614646911621,67715.888889329755329526960849761963,0,0,initial
19,21,20,20,20,0.717961151016460630280846544338,48573.178429512488946784287691116333,67654.326923879561945796012878417969,1,1,look right
21,19,20,20,20,0.715656440971755958280198228749,48532.519325428169395308941602706909,67815.388148436366464011371135711670,1,1,look letf
17,23,20,20,20,0.718550234641740726004854877829,48633.300787878753908444195985794067,67682.534140604169806465506553649902,2,3,acc right
13,27,20,20,20,0.714977357433738913705667528120,48735.273032938035612460225820541382,68163.379617870785295963287353515625,4,3,acc right
15,25,20,20,20,0.717498681343380462216430260014,48694.613928853708785027265548706055,67867.182470192507025785744190216064,2,3,dec right
16,24,20,20,20,0.718286633533634755188757026190,48653.630339920899132266640663146973,67735.675520742690423503518104553223,1,3,dec right
18,22,20,20,20,0.718410218178254789123116097471,48612.971235836594132706522941589355,67667.427335748929181136190891265869,1,3,acc letf
16,23,21,20,20,0.719699506863936466771747291205,48260.527254281907516997307538986206,67056.496209890901809558272361755371,1,8,look right
18,23,19,20,20,0.717138117814622999546259052295,49006.074321475593023933470249176025,68335.615000935489661060273647308350,1,8,look letf
14,23,23,20,20,0.721147348766282170196006973129,47514.323238471653894521296024322510,65887.121847924383473582565784454346,2,10,acc right
10,23,27,20,20,0.720147413139412995164434505568,46022.572155467671109363436698913574,63907.154723831779847387224435806274,4,10,acc right
12,23,25,20,20,0.721341836103441158556393020262,46768.119222661349340341985225677490,64834.890868515700276475399732589722,2,12,dec right
11,23,26,20,20,0.720925054552962740750388093147,46395.345689064510224852710962295532,64355.296568009733164217323064804077,1,12,dec right
13,23,24,20,20,0.721406242710086575975481082423,47141.549704874792951159179210662842,65346.744890617323108017444610595703,1,14,acc letf
12,23,24,21,20,0.744813956816666511429048114223,46761.685783926128351595252752304077,62783.041799841514148283749818801880,1,15,look right
14,23,24,19,20,0.698350167194806248360805511766,47521.413625823399343062192201614380,68048.116629958793055266141891479492,1,15,look letf
10,23,24,23,20,0.791219808092310628033771990886,46001.957942028930119704455137252808,58140.553954207804054021835327148438,2,17,acc right
6,23,24,27,20,0.865763763540381758865294159477,44481.521839262139110360294580459595,51378.359446880902396515011787414551,4,18,acc right
2,23,24,31,20,0.875275217743880507015319381026,42962.276519104030739981681108474731,49084.305882490414660423994064331055,4,19,dec right
0,23,24,33,20,0.846552163609475161187845060340,42202.759040843178809154778718948364,49852.520441152431885711848735809326,2,19,dec right
1,23,24,32,20,0.863594092171939498037147586729,42582.412598155402520205825567245483,49308.364872043784998822957277297974,1,19,dec right
3,23,24,30,20,0.881220776375208347808154485392,43342.140440052673511672765016555786,49184.201736975788662675768136978149,1,22,acc letf
5,23,24,28,20,0.876040639683539068549578132661,44101.657918313547270372509956359863,50342.022870360022352542728185653687,2,22,acc letf
4,23,24,29,20,0.881383710039686074644293967140,43722.004361001272627618163824081421,49606.095350948344275821000337600708,1,24,dec letf
3,23,24,29,21,0.870623952129051525972158742661,43363.076845849762321449816226959229,49806.896237816930806729942560195923,1,24,look right
5,23,24,29,19,0.891602560928399845430192272033,44080.931876152797485701739788055420,49440.113575103016046341508626937866,1,26,look letf
7,23,24,29,17,0.910286485492613817172014023527,44798.786906455832649953663349151611,49213.942665766771824564784765243530,2,27,acc letf
11,23,24,29,13,0.939917876818092135060567215987,46235.687749670534685719758272171021,49191.199454778325161896646022796631,4,28,acc letf
19,23,24,29,5,0.966013423187118469570577872219,49108.298653491438017226755619049072,50836.041689225137815810739994049072,8,29,acc letf
23,23,24,29,1,0.963653434815470166796558260103,50544.008714097450138069689273834229,52450.400619156316679436713457107544,4,29,dec letf
21,23,24,29,3,0.965973456018016651825064400327,49826.153683794400421902537345886230,51581.286600969579012598842382431030,2,29,dec letf
20,23,24,29,4,0.966292243453129584551675179682,49467.226168642933771479874849319458,51192.821326876728562638163566589355,1,32,dec letf
20,22,25,29,4,0.968674331177942660175972378056,49073.466134387308557052165269851685,50660.438245237921364605426788330078,1,33,look right
20,24,23,29,4,0.963454289370545002846313309419,49860.329254281947214622050523757935,51751.629324165725847706198692321777,1,33,look letf
20,20,27,29,4,0.972016587330051362592087116354,48266.605926218697277363389730453491,49656.154591762759082484990358352661,2,35,acc right
20,16,31,29,4,0.971453430451096999753701766167,46672.225649538850120734423398971558,48043.708721957445959560573101043701,4,35,acc right
20,18,29,29,4,0.973053408808185138489932342054,47459.088769433474226389080286026001,48773.364688750531058758497238159180,2,37,dec right
20,17,30,29,4,0.972587432726704115282245766139,47065.328735177863563876599073410034,48391.874243354701320640742778778076,1,37,dec right
20,19,28,29,4,0.972795252474030536227189713827,47872.845891963086614850908517837524,49211.636025373270967975258827209473,1,37,acc letf
20,17,29,30,4,0.979740947472085510483452708286,47058.895296442722610663622617721558,48031.977654770329536404460668563843,1,40,look right
20,19,29,28,4,0.960534228198283934752055301942,47879.725915678543969988822937011719,49846.975266554152767639607191085815,1,40,look letf
20,15,29,32,4,0.973508823919986165940088085335,46237.854313570474914740771055221558,47496.081368206294428091496229171753,2,40,acc right
20,16,29,31,4,0.980049126224382005645452409226,46658.701823451898235362023115158081,47608.533669330980046652257442474365,1,43,dec right
20,15,29,31,5,0.980133099999600077012473775540,46258.790719367578276433050632476807,47196.437626059618196450173854827881,1,44,look right
20,17,29,31,3,0.978854654074497676496946496627,47037.958890645590145140886306762695,48054.079014539449417497962713241577,1,44,look letf
