AAPL,MSFT,UNH,KO,DIS,GS,TrendRatio,ExpectedReturn,Risk,Step,currentBest,Info
17,16,16,17,17,17,0.470730625885462161672734282547,48662.910516460295184515416622161865,103377.404911616948083974421024322510,0,0,initial
16,17,16,17,17,17,0.464960522551998933771244537638,48596.969160374494094867259263992310,104518.484480453160358592867851257324,1,1,look right
18,15,16,17,17,17,0.476565012905133311704730658676,48729.545058894582325592637062072754,102251.620952700643101707100868225098,1,2,look letf
20,13,16,17,17,17,0.488477031587630561304536058742,48860.904210208376753143966197967529,100027.024917430433561094105243682861,2,3,acc letf
24,9,16,17,17,17,0.513124590309644079688666806760,49125.008885533061402384191751480103,95736.999966983974445611238479614258,4,4,acc letf
32,1,16,17,17,17,0.565164811122452315217401519476,49652.355424343106278683990240097046,87854.647789784459746442735195159912,8,5,acc letf
33,0,16,17,17,17,0.571823622796255426337097560463,49718.989966777400695718824863433838,86948.121736643617623485624790191650,1,6,dec letf
32,0,17,17,17,17,0.557286111326837474422291052178,49895.450809423171449452638626098633,89532.916387647885130718350410461426,1,6,look right
34,0,15,17,17,17,0.586975862094140432567712650780,49539.667269707075320184230804443359,84398.133669356568134389817714691162,1,8,look letf
36,0,13,17,17,17,0.618755853483914042278968281607,49186.745584415555640589445829391479,79492.978219872748013585805892944336,2,9,acc letf
40,0,9,17,17,17,0.687696478892790397097201093857,48477.516798550263047218322753906250,70492.605802781414240598678588867188,4,10,acc letf
48,0,1,17,17,17,0.817813788622188342358754198358,47061.921081244334345683455467224121,57546.010761853132862597703933715820,8,11,acc letf
49,0,0,17,17,17,0.828573382118345858060592945549,46884.936677740821323823183774948120,56585.134991754064685665071010589600,1,12,dec letf
48,0,0,18,17,17,0.829508221743582296880958892871,46503.123609181508072651922702789307,56061.076177683215064462274312973022,1,13,look right
50,0,0,16,17,17,0.827290722434670722229554939986,47267.177623074610892217606306076050,57134.905954184920119587332010269165,1,13,look letf
46,0,0,20,17,17,0.830256459164609439405069224449,45739.165279371831275057047605514526,55090.405831222124106716364622116089,2,15,acc right
42,0,0,24,17,17,0.826689671787520730106280097971,44210.629374811236630193889141082764,53479.111791993498627562075853347778,4,15,acc right
44,0,0,22,17,17,0.829371346636863293610986147542,44974.683388704295794013887643814087,54227.438132603187114000320434570312,2,15,dec right
45,0,0,21,17,17,0.830028435136099584923385918955,45356.924334038048982620239257812500,54645.024693161125469487160444259644,1,15,dec right
47,0,0,19,17,17,0.830077901864746392490701509814,46120.882663847798539791256189346313,55562.113580229699437040835618972778,1,15,acc letf
45,0,0,20,18,17,0.846225383108077933158597261354,46709.573799456346023362129926681519,55197.556976958119776099920272827148,1,20,look right
47,0,0,20,16,17,0.811535568478069735398605644150,44768.233198429494223091751337051392,55164.844200712657766416668891906738,1,20,look letf
43,0,0,20,20,17,0.869474096310798971742883622937,48649.759719118075736332684755325317,55953.086958588253764901310205459595,2,22,acc right
39,0,0,20,24,17,0.882902957166632251784221807611,52530.762678948973189108073711395264,59497.776343991477915551513433456421,4,23,acc right
31,0,0,20,32,17,0.826346838662958882437692409439,60293.292159468459431082010269165039,72963.662881585987634025514125823975,8,23,acc right
35,0,0,20,28,17,0.863195846556545243188907079457,56412.289199637525598518550395965576,65352.827431546422303654253482818604,4,23,dec right
37,0,0,20,26,17,0.876150084556277408687208207994,54472.103279975803161505609750747681,62172.114390153801650740206241607666,2,23,dec right
38,0,0,20,25,17,0.880438281581756521099180190504,53501.694759891259309370070695877075,60767.115514073826489038765430450439,1,23,dec right
40,0,0,20,23,17,0.883280307683342202906828788400,51560.354158864356577396392822265625,58373.716373340510472189635038375854,1,28,acc letf
42,0,0,20,21,17,0.876771192208123384403961608768,49620.168239202685072086751461029053,56594.204599988850532099604606628418,2,28,acc letf
41,0,0,20,22,17,0.881313819087471417290657882404,50591.100320144971192348748445510864,57404.183645421479013748466968536377,1,28,dec letf
39,0,0,20,23,18,0.872300310975033132976363958733,52345.466840833549213130027055740356,60008.538552878926566336303949356079,1,28,look right
41,0,0,20,23,16,0.888609313743136008945100456913,50769.927979462416260503232479095459,57134.138922764112066943198442459106,1,32,look letf
43,0,0,20,23,14,0.878893593088876823316013542353,49193.865557233388244640082120895386,55972.493080011256097350269556045532,2,32,acc letf
42,0,0,20,23,15,0.887334012511847514126372971077,49984.291736635459528770297765731812,56330.864174969377927482128143310547,1,32,dec letf
41,1,0,19,23,16,0.886407846392962661674630453490,51085.534382361831376329064369201660,57632.087295078585157170891761779785,1,32,look letf
41,1,0,20,22,16,0.886340147899413621779274308210,49734.039598308663698844611644744873,56111.685469936237495858222246170044,1,32,look letf
41,1,0,20,23,15,0.888625073507303353537167822651,49918.180755058871000073850154876709,56174.625545999304449651390314102173,1,37,look letf
41,3,0,20,23,13,0.876919350569556721453068348637,48210.759181516121316235512495040894,54977.415141088364180177450180053711,2,37,acc letf
41,2,0,20,23,14,0.884795607353449420351410026342,49061.813219571151421405375003814697,55449.883353650533535983413457870483,1,37,dec letf
41,1,1,19,23,15,0.888738735929216039366451695969,50476.882543038322182837873697280884,56796.086974044723319821059703826904,1,40,look letf
41,1,3,17,23,15,0.876867493626065974687833204371,51594.381803080606914591044187545776,58839.428052834940899629145860671997,2,40,acc letf
41,1,2,18,23,15,0.884677149318111255560381778196,51035.584331017773365601897239685059,57688.371820561689673922955989837646,1,40,dec letf
41,1,0,19,24,15,0.886415231272601467082949966425,51270.830220477204420603811740875244,57840.646698804026527795940637588501,1,40,look right
41,1,2,19,22,15,0.883940896067511805433980498492,49684.089546964583860244601964950562,56207.479219481567270122468471527100,1,40,look letf
41,1,2,19,23,14,0.889575373029398486224295083957,49862.917206282058032229542732238770,56052.492816293597570620477199554443,1,45,look letf
41,1,4,19,23,12,0.886222630388424859049223414331,48640.300030202328343875706195831299,54884.967233215022133663296699523926,2,45,acc letf
41,1,3,19,23,13,0.888777960030230351762270402105,49254.265366958592494484037160873413,55417.964420813594188075512647628784,1,45,dec letf
