ENB.TO,CSU.TO,TRI.TO,AEM.TO,TrendRatio,ExpectedReturn,Risk,Step,currentBest,Info
25,25,25,25,0.899845475658287763387477298238,49256.429781291139079257845878601074,54738.764725418302987236529588699341,0,0,initial
24,26,25,25,0.911935504912871341964830662619,49763.976835309586022049188613891602,54569.623144636927463579922914505005,1,1,look right
26,24,25,25,0.885829505936519323583411278378,48728.228690382034983485937118530273,55008.586148714282899163663387298584,1,1,look letf
22,28,25,25,0.930738980901844259463473463256,50799.628239789155486505478620529175,54579.886823442808235995471477508545,2,3,acc right
18,32,25,25,0.945217487614726903366602073220,52850.470492753600410651415586471558,55913.555541722678754013031721115112,4,4,acc right
10,40,25,25,0.899550045213519222642162276316,56972.615554677176987752318382263184,63334.570275246922392398118972778320,8,4,acc right
14,36,25,25,0.932141395079376211540989061177,54901.216005270085588563233613967896,58897.948632133207865990698337554932,4,4,dec right
16,34,25,25,0.941643186787211927679663858726,53886.121897233184427022933959960938,57225.627130683118593879044055938721,2,4,dec right
17,33,25,25,0.944284533357884314774821632454,53358.017546772032801527529954910278,56506.291972219900344498455524444580,1,4,dec right
19,31,25,25,0.944413443647719619278291247610,52342.923438735160743817687034606934,55423.738184586727584246546030044556,1,4,acc letf
17,32,26,25,0.939728130278245088469191159675,53337.687994729836646001785993576050,56758.637180454548797570168972015381,1,4,look right
19,32,24,25,0.950019302396913900565778021701,52363.252990777320519555360078811646,55118.093767846607079263776540756226,1,11,look letf
21,32,22,25,0.957233680156714838993536886846,51388.817986824717081617563962936401,53684.715709555399371311068534851074,2,12,acc letf
25,32,18,25,0.959886474967448610762232874549,49438.853936758838244713842868804932,51504.896908184266067110002040863037,4,13,acc letf
33,32,10,25,0.906209037443397313893456157530,45541.210661396522482391446828842163,50254.641897941866773180663585662842,8,13,acc letf
29,32,14,25,0.943410680722231997918925117119,47490.080669301685702521353960037231,50338.714241549030703026801347732544,4,13,dec letf
27,32,16,25,0.954222520545076169362630480464,48464.418932806278462521731853485107,50789.431070147213176824152469635010,2,13,dec letf
26,32,17,25,0.957682177846374438345833368658,48951.636434782587457448244094848633,51114.699184299861371982842683792114,1,13,dec letf
24,32,19,25,0.960876613707235094352654414251,49927.262221343815326690673828125000,51960.117989255086285993456840515137,1,18,acc right
22,32,21,25,0.959483260884201216711630877398,50901.600484848437190521508455276489,53051.056292467917955946177244186401,2,18,acc right
