ENB.TO,TRI.TO,IFC.TO,AEM.TO,TrendRatio,ExpectedReturn,Risk,Step,currentBest,Info
25,25,25,25,0.758202167742709987052762699022,39257.050859024995588697493076324463,51776.495147593101137317717075347900,0,0,initial
24,26,25,25,0.767658663149406672587815592124,39744.268361001253651920706033706665,51773.360047740345180500298738479614,1,1,look right
26,24,25,25,0.747785798870950646488608981599,38769.833357048708421643823385238647,51846.174954894297115970402956008911,1,1,look letf
22,28,25,25,0.783559379869077199387561449839,40719.797407114587258547544479370117,51967.723765770431782584637403488159,2,3,acc right
18,32,25,25,0.802998467956034911452434243984,42668.667415019714098889380693435669,53136.673502789140911772847175598145,4,4,acc right
10,40,25,25,0.798573012319420239002454309230,46567.404732542781857773661613464355,58313.271315405210771132260560989380,8,4,acc right
14,36,25,25,0.807012369097659498784480547329,44617.440682476917572785168886184692,55287.183184521425573620945215225220,4,6,dec right
12,38,25,25,0.804110712856716536300893949374,45593.066469038159993942826986312866,56699.986382549701374955475330352783,2,6,dec right
13,37,25,25,0.805918435420552636827551395982,45105.848967061901930719614028930664,55968.255576042633038014173507690430,1,6,dec right
15,35,25,25,0.807316225529390751880498555693,44130.223180500594025943428277969360,54662.871604695639689452946186065674,1,9,acc letf
17,33,25,25,0.805357245862375337175365075382,43155.884916996008541900664567947388,53586.014329311401525046676397323608,2,9,acc letf
16,34,25,25,0.806782648492810228191274291021,43643.005678524343238677829504013062,54095.121852280732127837836742401123,1,9,dec letf
14,35,26,25,0.814567835278745322469262646337,44244.667148880071181338280439376831,54316.737333164564915932714939117432,1,12,look right
16,35,24,25,0.799168392833696006327670602332,44016.436160737779573537409305572510,55077.799066432096878997981548309326,1,12,look letf
12,35,28,25,0.826107282937298514902124679793,44472.898137022311857435852289199829,53834.288906030385987833142280578613,2,14,acc right
8,35,32,25,0.836190800782071308461240732868,44929.920321475583477877080440521240,53731.660620343580376356840133666992,4,15,acc right
0,35,40,25,0.805632070208169737135506238701,45843.404482213372830301523208618164,56903.648920490166347008198499679565,8,15,acc right
4,35,36,25,0.828592748107921384104201933951,45386.285557312221499159932136535645,54775.142144257355539593845605850220,4,15,dec right
6,35,34,25,0.834522627327886401538137306488,45158.151309617845981847494840621948,54112.554687957039277534931898117065,2,15,dec right
7,35,33,25,0.835908422673723006113277733675,45043.707341238427034113556146621704,53885.935491787917271722108125686646,1,15,dec right
9,35,31,25,0.835353473509718558176473379717,44815.476353096106322482228279113770,53648.518590345840493682771921157837,1,15,acc letf
7,35,32,26,0.846604930110120057484834887873,45037.273902503271528985351324081421,53197.509606570754840504378080368042,1,21,look right
9,35,32,24,0.823662786541234925863363969256,44822.566740447909978684037923812866,54418.589103277357935439795255661011,1,21,look letf
5,35,32,28,0.860224730851469221448724056245,45251.884324110658781137317419052124,52604.723743898124666884541511535645,2,23,acc right
1,35,32,32,0.855994499272430875436157293734,45681.509011857655423227697610855103,53366.591783808820764534175395965576,4,23,acc right
