AAPL,MSFT,DIS,TrendRatio,ExpectedReturn,Risk,Step,currentBest,Info
34,33,33,0.665946187156265190232318218477,53329.951890667485713493078947067261,80081.473427151766372844576835632324,0,0,initial
33,34,33,0.667220420680702863691635684518,53264.534095439455995801836252212524,79830.491460526056471280753612518311,1,1,look right
35,32,33,0.664437831835007708392026870570,53395.893246753214043565094470977783,80362.512019051326205953955650329590,1,1,look letf
31,36,33,0.669019364935871108102105608850,53131.958196919360489118844270706177,79417.668578266529948450624942779541,2,3,acc right
27,40,33,0.669580064230783866818796923326,52868.546707943256478756666183471680,78957.767012790092849172651767730713,4,4,acc right
19,48,33,0.658246915320223502376961732807,52340.506982784630963578820228576660,79515.005334012166713364422321319580,8,4,acc right
23,44,33,0.665965237266758491863072322303,52605.135218967123364564031362533569,78990.812545814085751771926879882812,4,4,dec right
25,42,33,0.668293001413766241114444710547,52736.494370280888688284903764724731,78912.234990816054050810635089874268,2,4,dec right
26,41,33,0.669062783963433327372172243486,52801.912165508882026188075542449951,78919.218690834692097268998622894287,1,4,dec right
28,39,33,0.669829521686060913587823506532,52934.488064029006636701524257659912,79026.806598169932840391993522644043,1,9,acc letf
30,37,33,0.669550284069661660879546616343,53066.540401691352599300444126129150,79256.990347524333628825843334197998,2,9,acc letf
29,38,33,0.669813681329178400858381792204,52999.905859257014526519924402236938,79126.341155176152824424207210540771,1,9,dec letf
27,39,34,0.664524878576034594424015722325,53903.741902748413849622011184692383,81116.213464054337237030267715454102,1,9,look right
29,39,32,0.674774802793591699234809766494,51963.555983086684136651456356048584,77008.737978886754717677831649780273,1,13,look letf
31,39,30,0.683190264332683261372380911780,50022.215382059817784465849399566650,73218.571741387146175839006900787354,2,14,acc letf
35,39,26,0.690611233953567604793022383092,46142.367103594056970905512571334839,66813.809036150691099464893341064453,4,15,acc letf
43,39,18,0.636588745856624171892690355889,38379.837623074585280846804380416870,60289.846267119981348514556884765625,8,15,acc letf
39,39,22,0.677710071649423984041504809284,42260.840582905482733622193336486816,62358.289113293278205674141645431519,4,15,dec letf
37,39,24,0.687291855018403952115590982430,44201.026502567212446592748165130615,64311.873012642674439121037721633911,2,15,dec letf
36,39,25,0.689664837551711817908994817117,45171.958583509527670685201883316040,65498.422021729486004915088415145874,1,15,dec letf
34,39,27,0.690283733197529447700446780800,47111.620942313515115529298782348633,68249.646741758289863355457782745361,1,15,acc right
35,38,27,0.690884245582936151741648700408,47177.562298399250721558928489685059,68285.769432465502177365124225616455,1,21,look right
35,40,25,0.688371491310654781692335291154,45106.017227423712029121816158294678,65525.690411063005740288645029067993,1,21,look letf
35,36,29,0.686491499348595102247827526298,49250.955237088463036343455314636230,71742.993589610647177323698997497559,2,21,acc right
35,37,28,0.689430742275267460783538808755,48214.605360918132646474987268447876,69933.935933578657568432390689849854,1,21,dec right
