AAPL,MSFT,UNH,DIS,TrendRatio,ExpectedReturn,Risk,Step,currentBest,Info
25,25,25,25,0.622323517104521162224273211905,50521.571984294794674497097730636597,81182.167467101418878883123397827148,0,0,initial
24,26,25,25,0.615013373303493149357734637306,50454.937441860449325758963823318481,82038.764735872246092185378074645996,1,0,look right
26,24,25,25,0.629635771959419110466171787266,50586.989779522795288357883691787720,80343.258805160759948194026947021484,1,2,look letf
28,22,25,25,0.644179966095478007126473585231,50719.565678042927174828946590423584,78735.087005989655153825879096984863,2,3,acc letf
32,18,25,25,0.672603754934739450632719126588,50982.977167019067564979195594787598,75799.423944586480502039194107055664,4,4,acc letf
40,10,25,25,0.723245140165409972077270595037,51510.323705829068785533308982849121,71221.112794547618250362575054168701,8,5,acc letf
48,2,25,25,0.758101847348195301279361046909,52038.363430987650644965469837188721,68642.971406830634805373847484588623,8,6,dec letf
50,0,25,25,0.763383125228814574114721835940,52170.415768650011159479618072509766,68341.064983605159795843064785003662,2,7,dec letf
49,1,25,25,0.760935690820372490072998061805,52103.781226215687638614326715469360,68473.304452367156045511364936828613,1,7,acc right
49,0,26,25,0.753889833410850918049561641965,52349.214904862601542845368385314941,69438.812655182206071913242340087891,1,7,look right
51,0,24,25,0.771488288443373804170732910279,51993.954926004276785533875226974487,67394.354139726594439707696437835693,1,10,look letf
53,0,22,25,0.782986760978327311910618391266,51640.509679855080321431159973144531,65953.234784367523388937115669250488,2,11,acc letf
57,0,18,25,0.783566668918175834868122819898,50931.280893989736796356737613677979,64999.294781524520658422261476516724,4,12,acc letf
65,0,10,25,0.699075551098180647535684784089,49513.346883116944809444248676300049,70826.889604902113205753266811370850,8,12,acc letf
61,0,14,25,0.753105023779565341257580257661,50222.575668982222850900143384933472,66687.346496419631876051425933837891,4,12,dec letf
59,0,16,25,0.771964653106428366768909654638,50578.359208698297152295708656311035,65519.009199667612847406417131423950,2,12,dec letf
58,0,17,25,0.778726412254232558396438435011,50754.820051344009698368608951568604,65176.702950681436050217598676681519,1,12,dec letf
56,0,19,25,0.786413958008140068223212892917,51108.265297493220714386552572250366,64989.010910923083429224789142608643,1,17,acc right
54,0,21,25,0.786077000891831301210288529546,51464.048837209273187909275293350220,65469.475355240698263514786958694458,2,17,acc right
55,0,20,25,0.787250046080103960122187345405,51284.726140138947812374681234359741,65144.138632315363793168216943740845,1,19,dec right
54,0,20,26,0.790060353617613064791669330589,52255.658221081248484551906585693359,66141.349811830747057683765888214111,1,20,look right
56,0,20,24,0.782628450638300554587090118730,50314.317620054411236196756362915039,64288.894147687540680635720491409302,1,20,look letf
52,0,20,28,0.790818727874260885002399845689,54195.320579885235929396003484725952,68530.648895434627775102853775024414,2,22,acc right
48,0,20,32,0.777359234834306800365766321192,58076.847100573861098382622003555298,74710.435662287942250259220600128174,4,22,acc right
50,0,20,30,0.786153398967350813819621180301,56135.506499546994746197015047073364,71405.283718525679432787001132965088,2,22,dec right
51,0,20,29,0.789081143506727422654023484938,55166.252660827565705403685569763184,69912.014898322348017245531082153320,1,22,dec right
53,0,20,27,0.791199085067181062669305902091,53224.912059800633869599550962448120,67271.200212878509773872792720794678,1,26,acc letf
53,1,19,27,0.791392886096085934610755430185,52981.816674720605078618973493576050,66947.552354277650010772049427032471,1,27,look letf
53,3,17,27,0.789130067404348878312703163829,52497.012277257643290795385837554932,66525.170495573402149602770805358887,2,27,acc letf
53,2,18,27,0.790710769139387203985336327605,52739.414475989098718855530023574829,66698.743123722582822665572166442871,1,27,dec letf
53,0,19,28,0.788509952943195813190868648235,54018.859737239516107365489006042480,68507.517927463661180809140205383301,1,27,look right
53,2,19,26,0.792224995034625179002318873245,51946.621479915440431796014308929443,65570.540951746981590986251831054688,1,31,look letf
53,4,19,24,0.786613174331895925739388530928,49873.228541226191737223416566848755,63402.483162814620300196111202239990,2,31,acc letf
53,3,19,25,0.790714746541937407720013197832,50910.271603745095490012317895889282,64385.129816274333279579877853393555,1,31,dec letf
53,2,18,27,0.790710769139387203985336327605,52739.414475989098718855530023574829,66698.743123722582822665572166442871,1,31,look right
53,2,20,25,0.789004757120352562260734430311,51152.673802476594573818147182464600,64831.895297018985729664564132690430,1,31,look letf
