AAPL,UNH,DIS,TrendRatio,ExpectedReturn,Risk,Step,currentBest,Info
34,33,33,0.708438023009749340275220674812,61350.879260042303940281271934509277,86600.206746946452767588198184967041,0,0,initial
33,34,33,0.697664696189258304315217174008,61527.863663545795134268701076507568,88191.166902409648173488676548004150,1,0,look right
35,32,33,0.718797634515948580258282163413,61174.418417396540462505072355270386,85106.593956159180379472672939300537,1,2,look letf
37,30,33,0.737861006494452742465739447653,60818.634877680466161109507083892822,82425.598239195882342755794525146484,2,3,acc letf
41,26,33,0.766019633983387682185650646716,60112.267946239822776988148689270020,78473.534201270158519037067890167236,4,4,acc letf
49,18,33,0.762499766862674732692539691925,58693.810374509215762373059988021851,76975.512551310588605701923370361328,8,4,acc letf
45,22,33,0.775459153876425166806996003288,59403.039160374559287447482347488403,76603.698419737585936672985553741455,4,6,dec letf
47,20,33,0.771793080639310402624175821984,59047.255620658499537967145442962646,76506.588490981346694752573966979980,2,6,dec letf
46,21,33,0.774356699960141781069467015186,59226.578317728795809671282768249512,76484.878765531888348050415515899658,1,6,dec letf
44,23,33,0.775136295669350938730701727764,59579.500003020293661393225193023682,76863.256611628283280879259109497070,1,6,acc right
44,22,34,0.769954576759190323365089625440,60372.292999093951948452740907669067,78410.200837050011614337563514709473,1,6,look right
46,22,32,0.780287460244513120244391757296,58432.630640289993607439100742340088,74886.030620022240327671170234680176,1,11,look letf
48,22,30,0.787355566502384363047895021737,56491.290039263069047592580318450928,71748.130632022395730018615722656250,2,12,acc letf
52,22,26,0.786970985564469649453656074911,52610.918199939624173566699028015137,66852.424250690077315084636211395264,4,12,acc letf
50,22,28,0.789988234153317314678588445531,54551.104119601404818240553140640259,69053.058971273712813854217529296875,2,14,dec letf
51,22,27,0.789259157899267593805348042224,53580.695599516802758444100618362427,67887.328342353241168893873691558838,1,14,dec letf
49,22,29,0.789301431560898159034422860714,55521.512639685919566545635461807251,70342.597162009813473559916019439697,1,14,acc right
50,21,29,0.790063788505214303903301242826,55345.051797040185192599892616271973,70051.371297185978619381785392761230,1,17,look right
50,23,27,0.785587104558509108365171869082,53757.156442162500752601772546768188,68429.275544655742123723030090332031,1,17,look letf
50,19,31,0.778764934594578961402078220999,56929.454176985840604174882173538208,73102.231043084932025521993637084961,2,17,acc right
50,20,30,0.786153398967350813819621180301,56135.506499546994746197015047073364,71405.283718525679432787001132965088,1,17,dec right
