AAPL,MSFT,UNH,PG,DIS,TrendRatio,ExpectedReturn,Risk,Step,currentBest,Info
20,20,20,20,20,0.798889838342667357728998922539,47445.988574448827421292662620544434,59389.901207002018054481595754623413,0,0,initial
19,21,20,20,20,0.795432720341019749987765408150,47380.047218363040883559733629226685,59565.122236925526522099971771240234,1,0,look right
21,19,20,20,20,0.801817680597746607062958901224,47511.406369676849863026291131973267,59254.625483261479530483484268188477,1,2,look letf
23,17,20,20,20,0.806014124917616703314138248970,47643.982268196974473539739847183228,59110.604634958108363207429647445679,2,3,acc letf
27,13,20,20,20,0.807697973450824724395147313771,47907.393757173071207944303750991821,59313.500011015974450856447219848633,4,4,acc letf
35,5,20,20,20,0.785675892304520506748133357178,48435.433482331580307800322771072388,61648.109553498259629122912883758545,8,4,acc letf
31,9,20,20,20,0.800608099940629869273323038215,48171.498432497755857184529304504395,60168.637359614491288084536790847778,4,4,dec letf
29,11,20,20,20,0.805206829780107713467884877900,48039.446094835409894585609436035156,59661.001767650683177635073661804199,2,4,dec letf
28,12,20,20,20,0.806719022767630522530168946105,47974.028299607380176894366741180420,59468.076177281298441812396049499512,1,4,dec letf
26,14,20,20,20,0.808119851078331841165436344454,47841.452401087270118296146392822266,59200.937011074551264755427837371826,1,9,acc right
24,16,20,20,20,0.807283760144039019834849568724,47709.400063424967811442911624908447,59098.674368121130100917071104049683,2,9,acc right
25,15,20,20,20,0.807977167485485314735171868961,47776.034605859298608265817165374756,59130.426611612827400676906108856201,1,9,dec right
25,14,21,20,20,0.802453827162547317364271748374,48020.775098157682805322110652923584,59842.415192856271460186690092086792,1,9,look right
27,14,19,20,20,0.811397379858461387236445716553,47664.991558441579400096088647842407,58744.325211841540294699370861053467,1,13,look letf
29,14,17,20,20,0.810434883166887165550917870860,47311.546312292397487908601760864258,58377.973721239563019480556249618530,2,13,acc letf
28,14,18,20,20,0.812192994413633462258417239354,47488.530715795874129980802536010742,58469.515302924330171663314104080200,1,15,dec letf
27,14,18,21,20,0.811962418741140168343406458007,47605.158843249853816814720630645752,58629.756432639456761535257101058960,1,15,look right
29,14,18,19,20,0.811980639760819467021235595894,47371.959401993386563844978809356689,58341.242490642973280046135187149048,1,15,look letf
27,14,18,20,21,0.821677616521253151304904349672,48458.939235880381602328270673751831,58975.610703674268734175711870193481,1,18,look right
29,14,18,20,19,0.800217291002983222014677266998,46517.598634853515250142663717269897,58131.209057665932050440460443496704,1,18,look letf
25,14,18,20,23,0.833377535475881225934813301137,50399.125155542111315298825502395630,60475.742397787144000176340341567993,2,20,acc right
21,14,18,20,27,0.831933349419045842232378618064,54280.128115372979664243757724761963,65245.765364830942417029291391372681,4,20,acc right
23,14,18,20,25,0.836288668117221356546053812053,52340.465756568984943442046642303467,62586.601674761062895413488149642944,2,22,dec right
22,14,18,20,26,0.834911440469314203305373212061,53310.874276653594279196113348007202,63852.130528582631086464971303939819,1,22,dec right
24,14,18,20,24,0.835847055732800825467165850569,51369.533675626706099137663841247559,61458.054225710220634937286376953125,1,22,acc letf
23,13,19,20,25,0.836492934624733064374879631941,52582.867955300505855120718479156494,62861.102322269107389729470014572144,1,25,look right
23,15,17,20,25,0.835010418533826404008379995503,52098.063557837522239424288272857666,62392.112004201320814900100231170654,1,25,look letf
23,11,21,20,25,0.833799088957285716716683054983,53070.703832678918843157589435577393,63649.270592328088241629302501678467,2,25,acc right
23,12,20,20,25,0.835657042775720060312494297250,52825.963340380541922058910131454468,63214.884379976887430530041456222534,1,25,dec right
